date	YEAR	TIME_PRECISION	EVENT_TYPE	INTER2	INTERACTION	COUNTRY	ADM_LEVEL_1	ADM_LEVEL_2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	pro1	pro2	latlong
25/05/2003	2003	1	Violence against civilians	7	27	Algeria	Chlef	Chlef	36.1647	1.3347	2	Justice Commission for Algeria	7	11	36.16470011	"36.16470011,1.3347"
26/05/2003	2003	1	Violence against civilians	7	27	Algeria	Chlef	Chlef	36.1647	1.3347	2	Justice Commission for Algeria	14	12	36.16470012	"36.16470012,1.3347"
3/6/2003	2003	1	Violence against civilians	7	27	Algeria	Ain Defla	Boumedfaa	36.37082	2.47596	1	Justice Commission for Algeria	12	13	36.37082001	"36.370820013,2.47596"
12/6/2003	2003	1	Violence against civilians	7	27	Algeria	Batna	El Madher	35.62938	6.37262	1	Justice Commission for Algeria	3	14	35.62938001	"35.629380014,6.37262"
15/06/2003	2003	1	Violence against civilians	7	27	Algeria	Setif	Guenzet	36.31676	4.83338	1	Justice Commission for Algeria	3	15	36.31676002	"36.316760015,4.83338"
18/06/2003	2003	1	Violence against civilians	7	27	Algeria	Jijel	El Ancer	36.79885	6.15721	1	Justice Commission for Algeria	4	16	36.79885002	"36.798850016,6.15721"
21/06/2003	2003	1	Violence against civilians	7	27	Algeria	Relizane	Relizane	35.7425	0.5592	2	Justice Commission for Algeria	5	17	35.74250017	"35.74250017,0.5592"
25/06/2003	2003	1	Violence against civilians	7	27	Algeria	Médéa	Tablat	36.4119	3.3128	2	Justice Commission for Algeria	8	18	36.41190018	"36.41190018,3.3128"
1/8/2003	2003	1	Violence against civilians	7	27	Algeria	Chlef	Ouled Ben Abdelkader	36.03031	1.27583	2	Justice Commission for Algeria	3	19	36.03031002	"36.030310019,1.27583"
29/10/2003	2003	1	Violence against civilians	7	27	Algeria	Tipaza	Sidi Rached	36.56308	2.53505	2	Justice Commission for Algeria	3	20	36.56308002	"36.563080020,2.53505"
6/11/2003	2003	1	Battle-No change of territory	3	23	Algeria	Skikda	Oum Toub	36.688	6.57442	1	Justice Commission for Algeria	2	21	36.6880021	"36.6880021,6.57442"
20/11/2003	2003	1	Battle-No change of territory	3	23	Algeria	Ain Defla	Hammam Righa	36.38556	2.40137	1	Justice Commission for Algeria	3	22	36.38556002	"36.385560022,2.40137"
23/11/2003	2003	1	Violence against civilians	7	27	Algeria	Chlef	Chettia	36.17753	1.24922	1	Justice Commission for Algeria	3	23	36.17753002	"36.177530023,1.24922"
23/11/2003	2003	1	Violence against civilians	7	27	Algeria	Sidi Bel Abbes	Oued Sebaa	34.55513	-0.82353	1	Justice Commission for Algeria	3	24	34.55513002	"34.555130024,-0.82353"
18/12/2003	2003	1	Violence against civilians	7	27	Algeria	Laghouat	Laghouat	33.78716	2.87842	1	Justice Commission for Algeria	3	25	33.78716003	"33.787160025,2.87842"
28/01/2007	2007	1	Remote violence	0	20	Algeria	Boumerdes	Boumerdes	36.80666	3.81431	1	"Botha ""Terrorism in the Maghreb"""	0	26	36.80666003	"36.806660026,3.81431"
21/09/2014	2014	1	Riots/Protests	0	60	Algeria	Tizi Ouzou	Azazga	36.74472	4.37222	1	El Watan	0	27	36.74472003	"36.744720027,4.37222"
29/12/2014	2014	1	Battle-No change of territory	4	44	Algeria	Ghardaia	Berriane	32.82648	3.7669	1	L'Expression	0	28	32.82648003	"32.826480028,3.7669"
31/12/2014	2014	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Radio France Internationale	0	29	27.19351003	"27.193510029,2.46069"
1/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	30	27.19351003	"27.193510030,2.46069"
2/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	31	27.19351003	"27.193510031,2.46069"
2/1/2015	2015	1	Riots/Protests	1	15	Algeria	Tindouf	Tindouf	27.67528	-8.12861	1		0	32	27.67528003	"27.675280032,-8.12861"
3/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	33	27.19351003	"27.193510033,2.46069"
4/1/2015	2015	1	Riots/Protests	0	50	Algeria	Béjaïa	Souk el Tenine	36.62656	5.33388	1		0	34	36.62656003	"36.626560034,5.33388"
4/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	35	27.19351004	"27.193510035,2.46069"
5/1/2015	2015	1	Riots/Protests	0	50	Algeria	Béjaïa	Souk el Tenine	36.62656	5.33388	1		0	36	36.62656004	"36.626560036,5.33388"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Illizi	Djanet	24.55274	9.48582	1		0	37	24.55274004	"24.552740037,9.48582"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Illizi	Debdeb	29.83333	8.16667	1		0	38	29.83333004	"29.833330038,8.16667"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Laghouat	Laghouat	33.8	2.86514	1		0	39	33.80039	"33.80039,2.86514"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Ouargla	Ouargla	31.96644	5.34205	1		0	40	31.96644004	"31.966440040,5.34205"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	41	27.19351004	"27.193510041,2.46069"
5/1/2015	2015	2	Riots/Protests	0	50	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	2		0	42	22.7850042	"22.7850042,5.5228"
6/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	43	27.19351004	"27.193510043,2.46069"
6/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1		0	44	22.7850044	"22.7850044,5.5228"
7/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	45	27.19351005	"27.193510045,2.46069"
8/1/2015	2015	1	Riots/Protests	0	60	Algeria	Ghardaia	Ghardaïa	30.56667	2.88333	1		0	46	30.56667005	"30.566670046,2.88333"
8/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	47	27.19351005	"27.193510047,2.46069"
8/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1		0	48	22.7850048	"22.7850048,5.5228"
9/1/2015	2015	3	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	49	27.19351005	"27.193510049,2.46069"
10/1/2015	2015	1	Battle-No change of territory	4	44	Algeria	Ghardaia	Ghardaïa	32.48333	3.66667	1		0	50	32.48333005	"32.483330050,3.66667"
10/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	51	27.19351005	"27.193510051,2.46069"
11/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	52	27.19351005	"27.193510052,2.46069"
11/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1		0	53	22.7850053	"22.7850053,5.5228"
12/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	54	27.19351005	"27.193510054,2.46069"
13/01/2015	2015	1	Riots/Protests	0	60	Algeria	El Bayadh	El Abiodh Sidi Cheikh 	32.893	0.54839	1	La Tribune	0	55	32.8930055	"32.8930055,0.54839"
13/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	La Tribune	0	56	27.19351006	"27.193510056,2.46069"
13/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1	Maghreb Emergent	0	57	22.7850057	"22.7850057,5.5228"
14/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	58	27.19351006	"27.193510058,2.46069"
15/01/2015	2015	1	Riots/Protests	0	60	Algeria	Illizi	Djanet	24.55274	9.48582	1	Maghreb Emergent	0	59	24.55274006	"24.552740059,9.48582"
15/01/2015	2015	1	Riots/Protests	0	60	Algeria	Ouargla	Ouargla	31.96644	5.34205	1	Maghreb Emergent	0	60	31.96644006	"31.966440060,5.34205"
15/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Maghreb Emergent	0	61	27.19351006	"27.193510061,2.46069"
15/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1	Maghreb Emergent	0	62	22.7850062	"22.7850062,5.5228"
16/01/2015	2015	1	Riots/Protests	1	15	Algeria	Alger	Bouzareah	36.766	3.05	1	Algeria Press Service; Maghreb Emergent	0	63	36.7660063	"36.7660063,3.05"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Annaba	Annaba	36.9	7.76667	1	La Tribune; Maghreb Emergent	0	64	36.90064	"36.90064,7.76667"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Batna	Batna	35.5553	6.1786	1	La Tribune; Maghreb Emergent	0	65	35.55530065	"35.55530065,6.1786"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Biskra	Biskra	34.85038	5.72805	1	La Tribune; Maghreb Emergent	0	66	34.85038007	"34.850380066,5.72805"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Blida	Blida	36.4686	2.8289	1	La Tribune; Maghreb Emergent	0	67	36.46860067	"36.46860067,2.8289"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Constantine	Constantine	36.365	6.6147	1	La Tribune; Maghreb Emergent	0	68	36.3650068	"36.3650068,6.6147"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Jijel	Jijel	36.8	5.7667	1	La Tribune; Maghreb Emergent	0	69	36.80069	"36.80069,5.7667"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Oran	Oran	35.6911	-0.6417	1	La Tribune; Maghreb Emergent	0	70	35.6911007	"35.69110070,-0.6417"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Souk Ahras	Souk Ahras	36.28639	7.95111	1	La Tribune; Maghreb Emergent	0	71	36.28639007	"36.286390071,7.95111"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	72	27.19351007	"27.193510072,2.46069"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tipaza	Bou Ismail	36.64262	2.69007	1	La Tribune; Maghreb Emergent	0	73	36.64262007	"36.642620073,2.69007"
16/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tipaza	Gouraya	36.57172	1.90354	1	La Tribune; Maghreb Emergent	0	74	36.57172007	"36.571720074,1.90354"
17/01/2015	2015	1	Riots/Protests	1	16	Algeria	Alger	Bouzareah	36.766	3.05	1	Econews	0	75	36.7660075	"36.7660075,3.05"
17/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	76	27.19351008	"27.193510076,2.46069"
18/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	77	27.19351008	"27.193510077,2.46069"
19/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	78	27.19351008	"27.193510078,2.46069"
20/01/2015	2015	1	Riots/Protests	0	60	Algeria	Annaba	Annaba	36.9	7.76667	1	La Tribune	0	79	36.90079	"36.90079,7.76667"
20/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	80	27.19351008	"27.193510080,2.46069"
21/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	81	27.19351008	"27.193510081,2.46069"
22/01/2015	2015	1	Riots/Protests	0	60	Algeria	Adrar	Adrar	27.87092	-0.28563	1	L'Expression	0	82	27.87092008	"27.870920082,-0.28563"
22/01/2015	2015	1	Riots/Protests	0	60	Algeria	Ouargla	Ouargla	31.96644	5.34205	1	L'Expression	0	83	31.96644008	"31.966440083,5.34205"
22/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	L'Expression	0	84	27.19351008	"27.193510084,2.46069"
22/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1	L'Expression	0	85	22.7850085	"22.7850085,5.5228"
23/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	86	27.19351009	"27.193510086,2.46069"
24/01/2015	2015	1	Riots/Protests	0	60	Algeria	Oran	Oran	35.6911	-0.6417	1	Maghreb Emergent	0	87	35.69110087	"35.69110087,-0.6417"
24/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	88	27.19351009	"27.193510088,2.46069"
25/01/2015	2015	1	Riots/Protests	0	60	Algeria	Béjaïa	Bejaia	36.75	5.0833	1	Maghreb Emergent	0	89	36.750089	"36.750089,5.0833"
25/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Radio France International	0	90	27.19351009	"27.193510090,2.46069"
26/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Maghreb Emergent	0	91	27.19351009	"27.193510091,2.46069"
27/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Tout sur l'Algerie	0	92	27.19351009	"27.193510092,2.46069"
28/01/2015	2015	1	Riots/Protests	1	16	Algeria	Laghouat	Laghouat	33.8	2.86514	1	Human Rights Watch	0	93	33.80093	"33.80093,2.86514"
28/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	94	27.19351009	"27.193510094,2.46069"
29/01/2015	2015	1	Riots/Protests	0	60	Algeria	Ouargla	Ouargla	31.96644	5.34205	1	Algeria Press Service; El Khabar	0	95	31.9664401	"31.966440095,5.34205"
29/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Algeria Press Service	0	96	27.1935101	"27.193510096,2.46069"
29/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1	Algeria Press Service	0	97	22.7850097	"22.7850097,5.5228"
30/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	98	27.1935101	"27.193510098,2.46069"
31/01/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	99	27.1935101	"27.193510099,2.46069"
1/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	100	27.1935101	"27.193510100,2.46069"
2/2/2015	2015	1	Battle-No change of territory	1	13	Algeria	Bouira	Bouira	36.38	3.9014	1		2	101	36.380101	"36.380101,3.9014"
2/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	102	27.1935101	"27.193510102,2.46069"
3/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	103	27.1935101	"27.193510103,2.46069"
4/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	104	27.1935101	"27.193510104,2.46069"
5/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	105	27.19351011	"27.193510105,2.46069"
6/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	106	27.19351011	"27.193510106,2.46069"
7/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	107	27.19351011	"27.193510107,2.46069"
8/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	108	27.19351011	"27.193510108,2.46069"
9/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.01291	2.61949	1		0	109	27.01291011	"27.012910109,2.61949"
9/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.5147	2.57272	1		0	110	27.5147011	"27.51470110,2.57272"
10/2/2015	2015	1	Riots/Protests	0	60	Algeria	Mila	Mila	36.4503	6.2644	1		0	111	36.45030111	"36.45030111,6.2644"
10/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.01291	2.61949	1		0	112	27.01291011	"27.012910112,2.61949"
10/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.5147	2.57272	1		0	113	27.51470113	"27.51470113,2.57272"
11/2/2015	2015	1	Riots/Protests	0	60	Algeria	Ghardaia	El Meniaa	29.08182	2.2176	1		0	114	29.08182011	"29.081820114,2.2176"
11/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.01291	2.61949	1		0	115	27.01291012	"27.012910115,2.61949"
11/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	116	27.19351012	"27.193510116,2.46069"
11/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.5147	2.57272	1		0	117	27.51470117	"27.51470117,2.57272"
12/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	118	27.19351012	"27.193510118,2.46069"
12/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.5147	2.57272	1		0	119	27.51470119	"27.51470119,2.57272"
13/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Horizons	0	120	27.19351012	"27.193510120,2.46069"
14/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	121	27.19351012	"27.193510121,2.46069"
15/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	122	27.19351012	"27.193510122,2.46069"
15/02/2015	2015	1	Battle-No change of territory	3	13	Algeria	Tébessa	Tebessa	35.40417	8.12417	2	Agence France Presse	1	123	35.40417012	"35.404170123,8.12417"
16/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	124	27.19351012	"27.193510124,2.46069"
17/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	125	27.19351013	"27.193510125,2.46069"
18/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	126	27.19351013	"27.193510126,2.46069"
19/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	127	27.19351013	"27.193510127,2.46069"
20/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	128	27.19351013	"27.193510128,2.46069"
21/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	"Associated Press; Al Jazeera, Tout sur l'Algérie"	0	129	27.19351013	"27.193510129,2.46069"
22/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Econews	0	130	27.19351013	"27.193510130,2.46069"
23/02/2015	2015	1	Riots/Protests	0	60	Algeria	Alger	Bouzareah	36.766	3.05	1	Econews	0	131	36.7660131	"36.7660131,3.05"
24/02/2015	2015	1	Riots/Protests	1	16	Algeria	Alger	Bouzareah	36.766	3.05	1	Associated Press	0	132	36.7660132	"36.7660132,3.05"
24/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Al Jazeera	0	133	27.19351013	"27.193510133,2.46069"
25/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Econews	0	134	27.19351013	"27.193510134,2.46069"
26/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Econews	0	135	27.19351014	"27.193510135,2.46069"
27/02/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Econews	0	136	27.19351014	"27.193510136,2.46069"
28/02/2015	2015	1	Riots/Protests	1	15	Algeria	Tamanghasset	In Salah	27.278	2.50864	1	El Watan; Maghreb Emergent	0	137	27.2780137	"27.2780137,2.50864"
28/02/2015	2015	1	Riots/Protests	5	15	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Econews	0	138	27.19351014	"27.193510138,2.46069"
1/3/2015	2015	1	Riots/Protests	1	15	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	139	27.19351014	"27.193510139,2.46069"
2/3/2015	2015	1	Battle-No change of territory	3	13	Algeria	Tizi Ouzou	Beni-Douala	36.61171	4.06149	1		1	140	36.61171014	"36.611710140,4.06149"
3/3/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	141	27.19351014	"27.193510141,2.46069"
4/3/2015	2015	2	Riots/Protests	0	60	Algeria	Tindouf	Tindouf	27.67111	-8.14744	1		0	142	27.67111014	"27.671110142,-8.14744"
5/3/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	143	27.19351014	"27.193510143,2.46069"
10/3/2015	2015	1	Battle-No change of territory	3	13	Algeria	Ain Defla	Ain Defla	36.15062	2.67296	1		3	144	36.15062014	"36.150620144,2.67296"
14/03/2015	2015	1	Riots/Protests	0	60	Algeria	Ouargla	Ouargla	31.96644	5.34205	1	Econews; Algerie Press Service	0	145	31.96644015	"31.966440145,5.34205"
14/03/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1	Maghreb Emergent	0	146	27.19351015	"27.193510146,2.46069"
15/03/2015	2015	1	Battle-No change of territory	2	12	Algeria	Tizi Ouzou	Tadmait	36.70655	3.87489	1	El Khabar	1	147	36.70655015	"36.706550147,3.87489"
15/03/2015	2015	1	Riots/Protests	0	60	Algeria	Tizi Ouzou	Azazga	36.74472	4.37222	1	Algerie Presse Service	0	148	36.74472015	"36.744720148,4.37222"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Adrar	Adrar	27.87092	-0.28563	1	Algerie Presse Service	0	149	27.87092015	"27.870920149,-0.28563"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Annaba	Annaba	36.9	7.76667	1	Algerie Presse Service	0	150	36.9015	"36.90150,7.76667"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Blida	Blida	36.4686	2.8289	1	Algerie Presse Service	0	151	36.46860151	"36.46860151,2.8289"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	El Oued	El Oued	33.35608	6.86319	1	Algerie Presse Service	0	152	33.35608015	"33.356080152,6.86319"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Mascara	Mascara	35.3944	0.1397	1	Algerie Presse Service	0	153	35.39440153	"35.39440153,0.1397"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Mostaganem	Mostaganem	35.93115	0.08918	1	Algerie Presse Service	0	154	35.93115015	"35.931150154,0.08918"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Naâma	Naâma	33.26667	-0.31667	1	Algerie Presse Service	0	155	33.26667016	"33.266670155,-0.31667"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Oran	Oran	35.6911	-0.6417	1	Algerie Presse Service	0	156	35.69110156	"35.69110156,-0.6417"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Ouargla	Ouargla	31.96644	5.34205	1	Algerie Presse Service	0	157	31.96644016	"31.966440157,5.34205"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Relizane	Relizane	35.7425	0.5592	1	Algerie Presse Service	0	158	35.74250158	"35.74250158,0.5592"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Tiaret	Tiaret	35.3758	1.3131	1	Algerie Presse Service	0	159	35.37580159	"35.37580159,1.3131"
16/03/2015	2015	1	Riots/Protests	0	60	Algeria	Tissemsilt	Tissemsilt	35.6078	1.8111	1	Algerie Presse Service	0	160	35.6078016	"35.60780160,1.8111"
