EVENT_DATE,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,ACTOR2,ALLY_ACTOR_2,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,SOURCE,NOTES,FATALITIES
27/01/2015,Battle-No change of territory,Police Forces of Burundi (2005-),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Unidentified Armed Group (Democratic Republic of Congo),,Burundi,Cibitoke,Rugombo,Radio Publique Africaine; Radio France Internationale,Close to 200 armed men from the Democratic Republic of Congo fought for four days with the Burundi military and Imbonerakure youth throughout the Cibitoke area. 95 were killed and 9 jailed. There are reports that captured militants were killed on the spot.,23
28/01/2015,Battle-No change of territory,Police Forces of Burundi (2005-),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Unidentified Armed Group (Democratic Republic of Congo),,Burundi,Cibitoke,Rugombo,Radio Publique Africaine; Radio France Internationale,Close to 200 armed men from the Democratic Republic of Congo fought for four days with the Burundi military and Imbonerakure youth throughout the Cibitoke area. 95 were killed and 9 jailed. There are reports that captured militants were killed on the spot.,24
29/01/2015,Battle-No change of territory,Police Forces of Burundi (2005-),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Unidentified Armed Group (Democratic Republic of Congo),,Burundi,Cibitoke,Rugombo,Radio Publique Africaine; Radio France Internationale,Close to 200 armed men from the Democratic Republic of Congo fought for four days with the Burundi military and Imbonerakure youth throughout the Cibitoke area. 95 were killed and 9 jailed. There are reports that captured militants were killed on the spot.,24
30/01/2015,Battle-No change of territory,Police Forces of Burundi (2005-),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Unidentified Armed Group (Democratic Republic of Congo),,Burundi,Cibitoke,Rugombo,Radio Publique Africaine; Radio France Internationale,Close to 200 armed men from the Democratic Republic of Congo fought for four days with the Burundi military and Imbonerakure youth throughout the Cibitoke area. 95 were killed and 9 jailed. There are reports that captured militants were killed on the spot.,24
3/2/2015,Riots/Protests,Protesters (Burundi),Journalists (Burundi),,,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse,"Around 150 journalists and members of civil society demonstrated in support of jailed African Public Radio Director, Bob Rugurika. The protest was officially banned, but police did not intervene.",0
4/2/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Radio France Internationale,"Supporters of the jailed African Public Radio director, Bob Rugurika, protested in front of the courthouse to ask for his release. The protest was technically banned, but police did not stop it.",0
18/02/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse - English,"Thousands of protesters welcomed the release on bail of African Public Radio director Bob Rugurika, who has been in jail since January for publishing an interview of a person suspected of murdering three nuns in 2014.",0
19/02/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Radio France Internationale; Agence France Presse - English,"In the largest protest in recent years, thousands gathered to welcome the release on bail of the Africa Public Radio director Bob Rugurika and to demand change and increased democracy.",0
24/02/2015,Riots/Protests,Rioters (Burundi),,Police Forces of Burundi (2005-),,Burundi,Makamba,Nyanza-Lac,Voix du Burundi,"Commission Nationale de Terre et Autres Biens (CNTB) officials, accompanied by 11 police officers and an agent of the national intelligence service, were prevented from accessing the area of Buheka Hill after residents armed themselves with clubs and machetes and blocked the Buheka-Vugizo road with rocks and trees. The police beat a resident, while others threw rocks at the officers. At least one officer also fired shots into the crowd but no casualties were reported.",0
28/02/2015,Riots/Protests,Protesters (Burundi),Government of Burundi (2005-),,,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse -- English,"Thousands of Burundians took part in a ""government backed rally for peace"", where leaders spoke out against opposition, civil groups and the media. The rally follows a large demonstration last month following the release of a popular journalist and government critic from jail.",0
1/3/2015,Non-violent activity by a conflict actor,Civilians (Burundi),Prisoners (Burundi),,,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse - English; Radio France Internationale,"Former head of the ruling party and leading dissident, Hussein Radjabu, escaped from prison along with two others in a well-organzed escape involved several co-conspirators incuding prison guards. His escape leading up to the presidential election could increase tensions.",0
3/3/2015,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Bujumbura Mairie,Buyenze,Voix du Burundi,"A man was kidnapped by armed men who were allegedly Imbonerakure, taken to Rukoko and then ransomed.",0
4/3/2015,Non-violent activity by a conflict actor,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Bubanza,Gihanga,Voix du Burundi,"Armed men raided a village in the Gihanga area, looting shops and bars and firing indiscriminately. No casualties were reported.",0
5/3/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Radio France Internationale; Agence France Presse,"A general strike was held mostly in the private sector, primarily affecting transportation and education services. The strikers demanded abolition of a new cell phone tax and a decrease in gas prices.",0
8/3/2015,Battle-No change of territory,Unidentified Armed Group (Burundi),,Military Forces of Burundi (2005-),,Burundi,Ruyigi,Butaganzwa2,Xinhua General News Service,"Unknown gunmen attacked a military post in the Rukoko natural reserve, and they exchanged gunfire for about five minutes.",0
14/03/2015,Violence against civilians,Unidentified Armed Group (Burundi),,Civilians (Burundi),FNL: National Forces of Liberation,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse,The wife of the leader of the FNL was injured in an alleged assassination attempt when unidentified attackers shot her in the head at a hair salon.,0
28/03/2015,Violence against civilians,Ndombolo Militia,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Civilians (Burundi),,Burundi,Bubanza,Gihanga,Voix du Burundi,"A man was captured by Ndombolo (a group connected to the Imbonerakure) and accused of being pro-FNL Rwasa. He was then beaten until he satisfied his captors that he wasn't pro-FNL, and was dropped off in Rukoko.",0
1/4/2015,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),Tutsi Ethnic Group (Burundi),Burundi,Kirundo,Kirundo,The New Times (Kigali); Radio Publique Africaine; Relief Web,"Imbonerakure militia members have reportedly been harassing and assaulting civilians, causing hundreds to flee to Rwanda. It is possible the Imbonerakure have also abducted youth for military training. The Kirundo province governor has reportedly authorized Imbonerakure youth to conduct patrols to prevent additional citizens from fleeing.",0
10/4/2015,Non-violent activity by a conflict actor,Unidentified Armed Group (Burundi),,Civilians (Burundi),Journalists (Burundi),Burundi,Bujumbura Mairie,Musaga,Voix du Burundi,Unidentified assailants threw a grenade onto the home of a Bonesha FM journalist. The grenade caused no injuries but damaged the house.,0
11/4/2015,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Bubanza,Gihanga,Voix du Burundi,"A man's shop was looted by armed men who then took four people hostage, including the shopkeeper, to help them carry the goods. Afterwards they released the others and ransomed the shopkeeper. A primary school teacher also in Gihanga was robbed, kidnapped and ransomed by the same men as well. The armed men involved were allegedly Imbonerakure.",0
11/4/2015,Riots/Protests,Protesters (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,,Burundi,Bujumbura Mairie,Buyenze,Jeune Afrique,"10,000 protesters marched in favor of the ruling party and President Nkurunziza.",0
15/04/2015,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),UPRONA: Union for National Progress,Burundi,Cibitoke,Mugina,Voix du Burundi,A man was beaten with clubs by youths who were allegedly Imbonerakure due to his affiliation with UPRONA.,0
17/04/2015,Riots/Protests,Police Forces of Burundi (2005-),,Rioters (Burundi),FRODEBU: Front for Democracy in Burundi; MSD: Movement for Solidarity and Development; CNDD: National Council for Democracy and Development,Burundi,Bujumbura,Buyenze,Agence France Presse; Xinhua General News Service,"Around a thousand opposition activists ( including activists of FRODEBU-Sahwanya and Nyakuri, MSD, CNDD, UPD, independents, and members of the CNDD-FDD) marched to protest a third term by President Nkurunziza, but police blocked their path and used tear gas and water cannons. Some protesters threw stones in response, and more than 100 were arrested.",0
18/04/2015,Non-violent activity by a conflict actor,Government of Burundi (2005-),,Protesters (Burundi),,Burundi,Bujumbura,Buyenze,Agence France Presse,Burundi has charged 65 protestors with rebellion after they were arrested during clashes with police while calling for the president not to seek re-election.,0
18/04/2015,Riots/Protests,Protesters (Burundi),MSD: Movement for Solidarity and Development,,,Burundi,Bujumbura Mairie,Buyenze,Voix du Burundi,"Different events took place in Bujumbura: About 500 people engaged in a ""prayer walk for peace"" in downtown Bujumbura under heavy police escort, with one of the main groups involved being the National Women's Forum; a demonstration occurred, including activists of the MSD, in support of the people arrested in anti-government protests on apr.17.",0
19/04/2015,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Kirundo,Kirundo,The New Times (Kigali); Radio France Internationale,"Reports that Imbonerakure militia members continue to harass and assault members of the Tutsi ethnic group and members of opposition political parties, causing at least 8,000 to flee to Rwanda and DRC. ",0
21/04/2015,Riots/Protests,Protesters (Burundi),Students (Burundi),Police Forces of Burundi (2005-),,Burundi,Bujumbura Mairie,Buyenze,Radio France Internationale; Xinhua General News Service,"Students went on strike and more than 200 marched to protest two recent arrests of their compatriots on ""Black Tuesday"". Police were deployed and cleared the streets.",0
26/04/2015,Riots/Protests,Police Forces of Burundi (2005-),,Rioters (Burundi),,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse,"Throughout Bujumbura, hundreds protested against a third term for President Nkunruziza. Protesters injured police by throwing rocks and police responded with tear gas, water cannons, and live ammunition that led to several injuries and three deaths.",3
27/04/2015,Riots/Protests,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Police Forces of Burundi (2005-),Rioters (Burundi),,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse - English,"Although banned, protests against a third term for President Nkurunziza took place throughout Bujumbura , and police responded with tear gas and live ammunition. Three protesters died overnight in clashes with police and/or ruling party militia. ",3
27/04/2015,Violence against civilians,Police Forces of Burundi (2005-),,Civilians (Burundi),Journalists (Burundi),Burundi,Bujumbura Mairie,Buyenze,Agence France Presse - English; Agence France Presse,Leading human rights activist was arrested and injured during a police raid on the headquarters of a media association. He was released the following day with minor injuries.,0
27/04/2015,Non-violent activity by a conflict actor,Government of Burundi (2005-),,Civilians (Rwanda),,Burundi,Cibitoke,Rugombo,News of Rwanda,"The Burundian Army barricaded the road connecting to the border with Rwanda at the Bugarama crossing, blocking foreigners from entering and leaving hundreds stranded, mostly Rwandans.",0
27/04/2015,Riots/Protests,Rioters (Burundi),Students (Burundi),Police Forces of Burundi (2005-),,Burundi,Muyinga,Muyinga,Radio France Internationale,About 15 students had running battles with police and three were arrested while trying to protest a third term for President Nkurunziza.,0
28/04/2015,Non-violent activity by a conflict actor,Protesters (Burundi),,Interahamwe Militia,,Burundi,Bujumbura Mairie,Buyenze,Xinhua General News Service ,Opposition protesters claim to have captured four Interahamwe operatives during protests in Bujumbura. All were handed over to the police and/or military.,0
28/04/2015,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Protesters (Burundi),,Burundi,Bujumbura Mairie,Buyenze,Isanganiro Radio,"Armed Imbonerakure youth reportedly attacked people in the streets on 5th, 6th and 7th avenues in the Kanyosha urban district of Bujumbura where protests started in the morning.",0
28/04/2015,Riots/Protests,Protesters (Burundi),Students (Burundi),Police Forces of Burundi (2005-),,Burundi,Gitega,Gitega,Radio France Internationale,"Students tried to protest against a third term for President Nkurunziza, but they were dispersed and about 10 were arrested.",0
29/04/2015,Riots/Protests,Police Forces of Burundi (2005-),Military Forces of Burundi (2005-),Rioters (Burundi),,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse,"In a third day of protests against a third term for President Nkurunziza, protesters and police clashed with stones and tear gas. Military forces intervened to restore calm at intervals.",0
30/04/2015,Riots/Protests,Police Forces of Burundi (2005-),,Rioters (Burundi),,Burundi,Bujumbura Mairie,Buyenze,Isanganiro Radio; Associated Press International; Agence France Presse - English; Agence France Presse,"Protests continue regarding the third term announcement from President Nkurunziza. Demonstrators and police alike set up barricades and continue to clash with one another throughout Bujumbura and at least nine were seriously injured, including several who were shot by police. One military personnel was killed by friendly fire. Nearly 600 people were arrested throughout the week.",1
30/04/2015,Violence against civilians,Prison Guards (Burundi),,Prisoners (Burundi),Protesters (Burundi),Burundi,Bujumbura Mairie,Buyenze,Agence France Presse - English,"Detainees from recent protests have reportedly been beaten in prison, causing minor injuries.",0
1/5/2015,Battle-No change of territory,Unidentified Armed Group (Burundi),,Police Forces of Burundi (2005-),,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse - English; Xinhua General News Service,A grenade attack at a police post in the center of Bujumbura wounded three to five policemen.,0
1/5/2015,Battle-No change of territory,Unidentified Armed Group (Burundi),,Police Forces of Burundi (2005-),Civilians (Burundi),Burundi,Bujumbura Mairie,Gihosha,Agence France Presse - English; Xinhua General News Service,An attack on a police post by five people using two grenades and an automated weapon in the Kamenge district of Bujumbura killed three people including two police officers and injured around 12 others. ,3
1/5/2015,Riots/Protests,Protesters (Burundi),,,,Burundi,Bujumbura Mairie,Buyenze,Agence France Presse,Calm protests against a third term for President Nkurunziza were reported in Bujumbura.,0
1/5/2015,Riots/Protests,Rioters (Burundi),,Police Forces of Burundi (2005-),,Burundi,Bururi,Matana,Agence France Presse,Dozens of youths erected barricades around the center of Matana and demonstrated against a third term for President Nkurunziza. The police intervened to disperse them and at least one protester was injured by live ammunition. ,0
11/3/2015,Battle-No change of territory,ENSF: Eritrean National Salvation Front,,Military Forces of Eritrea (1993-),,Eritrea,Anseba,Asmara City,Sudan Tribune,An Eritrean opposition group has reportedly raided a government owned garage facility in the capital Asmara. Eritrean National Salvation Front (ENSF) in a statement said its armed wing has carried out the attack on Wednesday at the garage located in Qohawta neighbourhood in retaliation to the regime’s oppression against citizens including deny economic rights of the people. The statement didn’t disclose if there were causalities from government side following the attack but it admitted one of its fighters have sustained light wounds.,0
14/03/2015,Battle-No change of territory,Military Forces of Eritrea (1993-),,Military Forces of Ethiopia (1991-),,Eritrea,Gash Barka,La`Elay Gash,HornAffairs,"Tension remains high on Ethiopian and Eritrea border after a series of clashes in mid-March. The situation deteriorated on the second weekend of the month (March 14 or 15) following a surprise attack by Eritrean military around Badme area. Several personnel of an Ethiopian National Defense Forces (ENDF) unit were killed by the ambush, as HornAffairs was able to confirm from firsthand sources.",10
20/03/2015,Remote violence,Military Forces of Ethiopia (1991-),,Military Forces of Eritrea (1993-),,Eritrea,Debub,,Nharnet; HornAffairs,"A military facility located between the villages of Tukhul and Wutuh in the Mai Edaga [both in southern Eritrea] area was hit on 20 March by Ethiopian missiles shot from Tigray [Regional State, bordering Eritrea] in Ethiopia. The military facility was heavily destroyed.",0
20/03/2015,Remote violence,Military Forces of Ethiopia (1991-),,,,Eritrea,Gash Barka,Barentu,Nharnet; HornAffairs,"An unidentified target near Barentu [in western Eritrea] was hit on 20 March by Ethiopian missiles shot from Tigray [Regional State, bordering Eritrea] in Ethiopia. The missile did not cause damage.",0
20/03/2015,Remote violence,Military Forces of Ethiopia (1991-),,,,Eritrea,Gash Barka,Dghe,Nharnet; HornAffairs,"The mining complex at Bisha [in western Eritrea] in Eritrea was hit on 20 March by Ethiopian missiles shot from Tigray [Regional State, bordering Eritrea] in Ethiopia. The mine sustained a slight damage.",0
15/01/2015,Non-violent activity by a conflict actor,Government of Ethiopia (1991-),,OLF: Oromo Liberation Front,,Ethiopia,Addis Ababa,Zone 5,Sudan Tribune,"An Ethiopian court last week handed down prison terms to three British citizens convicted on terrorism-related charges. According to the federal high court, the trio had links to local members of a jihadist group seeking to turn the Horn of Africa nation into an Islamic state",0
25/01/2015,Violence against civilians,Protesters (Ethiopia),UDJ: Unity for Democracy and Justice,Police Forces of Ethiopia (1991-),,Ethiopia,Addis Ababa,Zone 5,Zehabesha.com ,"At least 26 protesters were injured when Ethiopian police broke an opposition protest rally in the capital, Addis Ababa, today.",0
1/3/2015,Non-violent activity by a conflict actor,Police Forces of Ethiopia (1991-),,Al Shabaab,,Ethiopia,Addis Ababa,Zone 5,The Reporter ,"Five Somali nationals, suspected to be Al-Shabab members, have been arrested in the Ethiopian capital Addis Ababa. They are said to have been planning suicide attacks in some of the city's recreational areas, privately-owned pro-government Ethiopian newspaper The Reporter website, thereporterethiopia.com, reported on 1 March",0
22/04/2015,Riots/Protests,Rioters (Ethiopia),,Police Forces of Ethiopia (1991-),,Ethiopia,Addis Ababa,Zone 5,The Reporter ,"Clashes between police and protesters erupted at Meskel Square, Addis Ababa in Ethiopia on 19 April 2015 when Prime Minister Hailemariam Desalegn was making a speech, and some protesters were injured in the fracas. The protest rally was held to condemn the execution of Ethiopians in Libya by the IS group.",0
31/12/2014,Violence against civilians,Unidentified Armed Group (Kenya),,Civilians (Kenya),,Kenya,Eastern,Embu,The Star (Nairobi),A burnt man's body is discovered at a coffee plantation near Kangaru in Engu. Perpetrators not known. The time of death may have been up to three days before its discovery on 03/01. ,1
3/1/2015,Riots/Protests,Protesters (Kenya),,,,Kenya,Rift Valley,Bomet,The Star (Nairobi),Boda boda riders and traders protest a new law that prohibits animals to travel through the CBD of Bomet. ,0
4/1/2015,Riots/Protests,Protesters (Kenya),,,,Kenya,Nairobi,Nairobi,Sunday Standard,"Youths took to Ngong Road in Nairobi and adjacent streets to protest the death of former Prime Minister Raila Odinga's son, who died in unclear circumstances. The protesters demanded to know the cause of death. The demo lasted several hours. ",0
5/1/2015,Riots/Protests,Protesters (Kenya),,,,Kenya,Nyanza,Kisumu,The Star (Nairobi),"Teachers strike, protest over poor working conditions. ",0
5/1/2015,Battle-No change of territory,Pokot Ethnic Militia (Kenya),,Private Security Forces (Kenya),,Kenya,Rift Valley,Baringo,The Star (Nairobi),Pokot gunmen killed a school guard during the late morning hours. Motive unknown. ,1
6/1/2015,Riots/Protests,Rioters (Kenya),,Rioters (Kenya),,Kenya,Central,Muranga,The Star (Nairobi),Medical worker protesters clash with a group that was attempting to stop them. One man is injured after he was hit in the face with a stone. ,0
6/1/2015,Riots/Protests,Protesters (Kenya),,,,Kenya,Eastern,Machakos,The Star (Nairobi),Hundreds of Athi River sub county workers protested over a irregular payment from Machakos county government. ,0
7/1/2015,Riots/Protests,Protesters (Kenya),,,,Kenya,Eastern,Meru,The Star (Nairobi),"More than 1,000 teachers from Buuri, North Imenti, South Imenti and Meru Central sub counties protest in Meru. The teachers were on strike, calling for better salaries. ",0
7/1/2015,Riots/Protests,Protesters (Kenya),,,,Kenya,Rift Valley,Laikipia,The Star (Nairobi),Following an attack by armed robbers in Ol Moran village of Laikipia residents protest insecurity. ,0
8/1/2015,Riots/Protests,Protesters (Kenya),,,,Kenya,Eastern,Kitui,The Star (Nairobi),"Traders at Kalundu market held a demonstration in Kitui town, protesting against high market charges by the county government.",0
8/1/2015,Riots/Protests,Rioters (Kenya),,Police Forces of Kenya (2013-),,Kenya,Rift Valley,Naivasha,The Star (Nairobi),Fishermen clash with police after officials closed a corridor leading to Lake Naivasha and Karagita beach in Naivasha. No reported injuries. ,0
9/1/2015,Violence against civilians,Police Forces of Kenya (2013-),,Protesters (Kenya),,Kenya,Rift Valley,Nakuru,Daily Nation (Kenya),Two demonstrators were shot and injured by police in Mau Narok during a protest against increased road accidents.,0
11/1/2015,Battle-No change of territory,Police Forces of Kenya (2013-),,Unidentified Armed Group (Kenya),,Kenya,Coast,Mombasa,The Star (Nairobi),"An unidentified attacker targeted a crowded Mombasa church, but are repulsed by police guarding the door. Police engaged the assailant in a shootout before he escaped. The reason for the attack is not known. One church official was reported dead following the incident. ",1
12/1/2015,Riots/Protests,Protesters (Kenya),URP: United Republican Party,Protesters (Kenya),,Kenya,Rift Valley,Bomet,The Star (Nairobi),"URP supporters disrupt a demonstration in Bomet concerning the location of a university, no reported violence. Police forces dispersed the two groups. ",0
12/1/2015,Riots/Protests,Protesters (Kenya),Pokot Ethnic Group (Kenya),,,Kenya,Rift Valley,Nandi,The Star (Nairobi),"Pokot cattle rustlers struck Namawanga village inhabited by members of the Luhya community and shot dead a local farmer before stealing three bulls from his home. In revenge, Luhya tribesmen hacked to death a Pokot man after they found him ferrying two passengers to Karnyarkwat market. The killing of the man sparked off protest from members of the Pokot community who thronged to Kapkoi market vowing to revenge  over the killing of their tribesmen. ",0
12/1/2015,Violence against civilians,Luhya Ethnic Militia (Kenya),,Civilians (Kenya),Pokot Ethnic Group (Kenya),Kenya,Rift Valley,West Pokot,The Star (Nairobi),"Pokot cattle rustlers struck Namawanga village inhabited by members of the Luhya community and shot dead a local farmer before stealing three bulls from his home. In revenge, Luhya tribesmen hacked to death a Pokot man who operates a motor cycle taxis after they found him ferrying two passengers to Karnyarkwat market. The killing of the man sparked off protest from members of the Pokot community who thronged to Kapkoi market vowing to revenge  over the killing of their tribesmen. ",1
12/1/2015,Violence against civilians,Pokot Ethnic Militia (Kenya),,Civilians (Kenya),Luhya Ethnic Group (Kenya),Kenya,Rift Valley,Bungoma ,The Star (Nairobi),"Pokot cattle rustlers struck Namawanga village inhabited by members of the Luhya community and shot dead a local farmer before stealing three bulls from his home. In revenge, Luhya tribesmen hacked to death a Pokot man who operates a motor cycle taxis after they found him ferrying two passengers to Karnyarkwat market. The killing of the man sparked off protest from members of the Pokot community who thronged to Kapkoi market vowing to revenge  over the killing of their tribesmen. ",1
13/01/2015,Riots/Protests,Protesters (Kenya),,Police Forces of Kenya (2013-),,Kenya,Nairobi,Nairobi,Associated Press ,A group of Nairobi-based journalists were ejected from a reception area at the United Nations complex in Kenya's capital after launching a protest over Al-Jazeera journalists jailed in Egypt. ,0
13/01/2015,Violence against civilians,Vigilante Militia (Kenya),,Civilians (Kenya),,Kenya,Rift Valley,Kajiado,The Star (Nairobi),Suburban Nairobi residents set a suspected thief alight. ,1
14/01/2015,Battle-No change of territory,Military Forces of Kenya (2013-),,Al Shabaab,,Kenya,Coast,Lamu East,The Star (Nairobi),"The Kenya Defence Forces killed eight al Shabaab and injured several others during an encounter with the insurgents in Basuba, Lamu county. A KDF soldier died while three others were injured. ",9
14/01/2015,Riots/Protests,Rioters (Kenya),,Military Forces of Kenya (2013-),,Kenya,Eastern,Machakos,The Star (Nairobi),Residents of Machakos hurled stones at county Askaris to stop them from towing away the deputy governor's car. A woman broke her leg when she was allegedly beaten by the Askaris.,0
15/01/2015,Violence against civilians,Vigilante Militia (Kenya),,Civilians (Kenya),,Kenya,Nairobi,Nairobi,The Star (Nairobi),Githurai residents on 15/01 morning lynched four people who they accused of engaging in criminal activities in the area.,4
16/01/2015,Violence against civilians,Rioters (Kenya),Maasai Ethnic Group (Kenya),Civilians (Kenya),,Kenya,Rift Valley,Narok,Daily Nation (Kenya),"A group of women protesting in support of circumcision of girls lured activists opposed to the practice and attacked them at Enoosaen Village in Transmara, Narok County. Injuries not known. ",0
