TITLE,DONOR,COMMITTED,SECTOR,IMPLEMENTING,COUNTY,BUDGET,STATUS
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,,Health and Nutrition,UNICEF,Kitui,2427780,Ongoing
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,,Health and Nutrition,UNICEF,Mandera,2427780,Ongoing
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,,Health and Nutrition,UNICEF,Samburu,2427780,Ongoing
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,,Health and Nutrition,UNICEF,Tana River,2427780,Ongoing
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,,Health and Nutrition,UNICEF,Turkana,2427780,Ongoing
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,,Health and Nutrition,UNICEF,Wajir,2427780,Ongoing
SHARE - Contributing Towards the Nutritional Wellbeing of Deprived Children & Women in Kenya,EU,,Health and Nutrition,UNICEF,West Pokot,2427780,Ongoing
"Strengthening human security in the border communities of Turkana, Kenya",UNTFHS,1500000,Peace and Human Security,IOM,Turkana,500000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,5200000,Institutional Dev,KARI,Baringo,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Garissa,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Isiolo,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Kajiado,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Kilifi,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Kitui,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Laikipia,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Lamu,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Makueni,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Mandera,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Marsabit,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Meru,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Narok,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Samburu,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Tana River,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Tharaka,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Turkana,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Wajir,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,West Pokot,260000,Ongoing
KRDP-ASAL- Agricultural Productivity Research Project (ASAL-APRP),EU,,Institutional Dev,KARI,Machakos,260000,Ongoing
Hunger Safety Net Programme,DFID,236000000,DRM,NDMA,Turkana,96760000,Planned
Hunger Safety Net Programme,DFID,236000000,DRM,NDMA,Marsabit,33040000,Planned
Hunger Safety Net Programme,DFID,236000000,DRM,NDMA,Mandera,47200000,Planned
Hunger Safety Net Programme,DFID,236000000,DRM,NDMA,Wajir,59000000,Planned
Hunger Safety Net Programme,Government of Kenya,4114290,DRM,NDMA,Turkana,1028572,Planned
Hunger Safety Net Programme,Government of Kenya,,DRM,NDMA,Marsabit,1028572,Planned
Hunger Safety Net Programme,Government of Kenya,,DRM,NDMA,Mandera,1028572,Planned
Hunger Safety Net Programme,Government of Kenya,,DRM,NDMA,Wajir,1028572,Planned
KRDP - ASAL Drought Contingency Fund Project,EU,12300000,DRM,NDMA,Baringo,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Garissa,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Isiolo,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Kajiado,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Kilifi,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Kitui,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Laikipia,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Lamu,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Makueni,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Mandera,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Marsabit,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Meru,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Narok,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Samburu,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Tana River,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Tharaka,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Turkana,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Wajir,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,West Pokot,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,EU,,DRM,NDMA,Machakos,615000,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,1608140,DRM,NDMA,Baringo,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Garissa,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Isiolo,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Kajiado,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Kilifi,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Kitui,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Laikipia,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Lamu,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Makueni,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Mandera,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Marsabit,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Meru,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Narok,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Samburu,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Tana River,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Tharaka,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Turkana,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Wajir,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,West Pokot,80407,Ongoing
KRDP - ASAL Drought Contingency Fund Project,Government of Kenya,,DRM,NDMA,Machakos,80407,Ongoing
